# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
157,1708936723.7228878,502400,-0.07647892832756042,1.7152485847473145,0.00044509145664051175,1.935628056526184
158,1708936724.0081055,505600,-0.07480312138795853,1.3440991640090942,0.00044509145664051175,1.935628056526184
159,1708936724.4742737,508800,-0.07480312138795853,1.3440991640090942,0.0002790182479657233,2.0246167182922363
160,1708936724.8613722,512000,-0.07445842772722244,1.7525458335876465,0.0002790182479657233,2.0246167182922363
161,1708936725.1882195,515200,-0.07445842772722244,1.7525458335876465,0.000345914886565879,2.1140265464782715
162,1708936725.6767154,518400,-0.07497279345989227,1.8620785474777222,0.000345914886565879,2.1140265464782715
163,1708936725.9448602,521600,-0.07497279345989227,1.8620785474777222,-0.0007989305886439979,2.345771551132202
164,1708936726.4967778,524800,-0.074231818318367,1.8115954399108887,-0.0007989305886439979,2.345771551132202
165,1708936726.66677,528000,-0.074231818318367,1.8115954399108887,-0.0010955784237012267,2.099555730819702
166,1708936727.3297608,531200,-0.07418109476566315,1.5444639921188354,-0.0010955784237012267,2.099555730819702
167,1708936727.4417605,534400,-0.07418109476566315,1.5444639921188354,-0.0015970717649906874,1.7950828075408936
168,1708936728.129655,537600,-0.07418109476566315,1.5444639921188354,-0.001833534799516201,1.8647140264511108
169,1708936728.1782272,540800,-0.07402992993593216,1.5199428796768188,-0.001833534799516201,1.8647140264511108
170,1708936728.8642044,544000,-0.07402992993593216,1.5199428796768188,-0.0031004406046122313,2.1832332611083984
171,1708936729.0088162,547200,-0.07271027565002441,1.7838006019592285,-0.0031004406046122313,2.1832332611083984
172,1708936729.5751598,550400,-0.07271027565002441,1.7838006019592285,-0.006025300826877356,2.4107089042663574
173,1708936729.870058,553600,-0.06968392431735992,2.6535468101501465,-0.006025300826877356,2.4107089042663574
174,1708936730.3424888,556800,-0.06968392431735992,2.6535468101501465,-0.005697143264114857,3.637970209121704
175,1708936730.8363142,560000,-0.0708509162068367,3.852085590362549,-0.005697143264114857,3.637970209121704
176,1708936731.2121525,563200,-0.0708509162068367,3.852085590362549,-0.006294954102486372,4.593173503875732
177,1708936731.7966015,566400,-0.0696917176246643,2.987509250640869,-0.006294954102486372,4.593173503875732
178,1708936731.9796607,569600,-0.0696917176246643,2.987509250640869,-0.007209167815744877,2.8327441215515137
179,1708936732.634295,572800,-0.06731315702199936,2.488978147506714,-0.007209167815744877,2.8327441215515137
180,1708936732.704575,576000,-0.06731315702199936,2.488978147506714,-0.00875681359320879,2.8697571754455566
181,1708936733.477042,579200,-0.06731315702199936,2.488978147506714,-0.009223073720932007,2.8234047889709473
182,1708936733.575664,582400,-0.06715057045221329,2.642108678817749,-0.009223073720932007,2.8234047889709473
183,1708936734.3704453,585600,-0.06715057045221329,2.642108678817749,-0.009938424453139305,3.5011136531829834
184,1708936734.5878692,588800,-0.06622256338596344,3.5671637058258057,-0.009938424453139305,3.5011136531829834
185,1708936735.1592727,592000,-0.06622256338596344,3.5671637058258057,-0.015808360651135445,4.732018947601318
186,1708936735.544496,595200,-0.06628211587667465,3.408337116241455,-0.015808360651135445,4.732018947601318
187,1708936736.013049,598400,-0.06628211587667465,3.408337116241455,-0.02165764570236206,4.065540313720703
188,1708936736.519778,601600,-0.0658523440361023,2.693335771560669,-0.02165764570236206,4.065540313720703
189,1708936736.837966,604800,-0.0658523440361023,2.693335771560669,-0.026177527382969856,2.8291008472442627
190,1708936737.4166975,608000,-0.06525030732154846,2.4285459518432617,-0.026177527382969856,2.8291008472442627
191,1708936737.654462,611200,-0.06525030732154846,2.4285459518432617,-0.027952801436185837,2.9752204418182373
192,1708936738.2690816,614400,-0.06421241164207458,1.8259609937667847,-0.027952801436185837,2.9752204418182373
193,1708936738.4537725,617600,-0.06421241164207458,1.8259609937667847,-0.03063216246664524,2.1910860538482666
194,1708936739.2547877,620800,-0.06318635493516922,1.9127811193466187,-0.03063216246664524,2.1910860538482666
195,1708936739.3035612,624000,-0.06318635493516922,1.9127811193466187,-0.03113691136240959,2.373570680618286
196,1708936740.078395,627200,-0.06318635493516922,1.9127811193466187,-0.03115585818886757,2.017629861831665
197,1708936740.2374158,630400,-0.06313367187976837,1.9223541021347046,-0.03115585818886757,2.017629861831665
198,1708936740.9835894,633600,-0.06313367187976837,1.9223541021347046,-0.031846996396780014,2.211165428161621
199,1708936741.2306943,636800,-0.06246345490217209,2.0660576820373535,-0.031846996396780014,2.211165428161621
200,1708936741.7664838,640000,-0.06246345490217209,2.0660576820373535,-0.029897503554821014,2.1393625736236572
201,1708936742.1299067,643200,-0.06157133728265762,1.84326171875,-0.029897503554821014,2.1393625736236572
202,1708936742.6300542,646400,-0.06157133728265762,1.84326171875,-0.03278477489948273,2.3931636810302734
203,1708936743.0616865,649600,-0.0622171126306057,1.5365208387374878,-0.03278477489948273,2.3931636810302734
204,1708936743.4599905,652800,-0.0622171126306057,1.5365208387374878,-0.03409920632839203,1.831924319267273
205,1708936743.969222,656000,-0.06208851560950279,1.6073428392410278,-0.03409920632839203,1.831924319267273
206,1708936744.2237883,659200,-0.06208851560950279,1.6073428392410278,-0.03508469834923744,1.9694983959197998
207,1708936744.899593,662400,-0.061949223279953,1.4410110712051392,-0.03508469834923744,1.9694983959197998
208,1708936745.1001828,665600,-0.061949223279953,1.4410110712051392,-0.03625597059726715,1.805086374282837
209,1708936745.9178607,668800,-0.061949223279953,1.4410110712051392,-0.036897651851177216,2.0131521224975586
210,1708936745.9242442,672000,-0.06048005446791649,1.6866278648376465,-0.036897651851177216,2.0131521224975586
211,1708936746.799517,675200,-0.06048005446791649,1.6866278648376465,-0.03455187380313873,1.99222993850708
212,1708936746.884004,678400,-0.06010300666093826,1.7063148021697998,-0.03455187380313873,1.99222993850708
213,1708936747.6401198,681600,-0.06010300666093826,1.7063148021697998,-0.03523718938231468,1.8651312589645386
214,1708936747.8471892,684800,-0.06027541682124138,1.3161060810089111,-0.03523718938231468,1.8651312589645386
215,1708936748.4927645,688000,-0.06027541682124138,1.3161060810089111,-0.03380942344665527,1.9344314336776733
216,1708936748.7715054,691200,-0.06087466701865196,1.7298874855041504,-0.03380942344665527,1.9344314336776733
217,1708936749.2994754,694400,-0.06087466701865196,1.7298874855041504,-0.03178893402218819,1.9443011283874512
218,1708936749.7298398,697600,-0.0566282756626606,1.375504732131958,-0.03178893402218819,1.9443011283874512
219,1708936750.1557508,700800,-0.0566282756626606,1.375504732131958,-0.03268738463521004,1.801324486732483
220,1708936750.6489036,704000,-0.05218488350510597,1.581730604171753,-0.03268738463521004,1.801324486732483
221,1708936751.0305717,707200,-0.05218488350510597,1.581730604171753,-0.032939694821834564,1.9877688884735107
222,1708936751.61909,710400,-0.049566105008125305,1.6320801973342896,-0.032939694821834564,1.9877688884735107
223,1708936751.841334,713600,-0.049566105008125305,1.6320801973342896,-0.03223655745387077,1.830367088317871
224,1708936752.5189428,716800,-0.04860616847872734,1.4067074060440063,-0.03223655745387077,1.830367088317871
225,1708936752.688136,720000,-0.04860616847872734,1.4067074060440063,-0.032508328557014465,1.8740578889846802
226,1708936753.4416392,723200,-0.04779873788356781,1.7025539875030518,-0.032508328557014465,1.8740578889846802
227,1708936753.4881449,726400,-0.04779873788356781,1.7025539875030518,-0.03408051282167435,2.0617263317108154
228,1708936754.2742414,729600,-0.04779873788356781,1.7025539875030518,-0.03943198174238205,2.014901638031006
229,1708936754.3926673,732800,-0.0495467334985733,1.7240536212921143,-0.03943198174238205,2.014901638031006
230,1708936755.1607327,736000,-0.0495467334985733,1.7240536212921143,-0.03862309083342552,1.8809808492660522
231,1708936755.3239639,739200,-0.05064976587891579,1.402098536491394,-0.03862309083342552,1.8809808492660522
232,1708936755.9841907,742400,-0.05064976587891579,1.402098536491394,-0.042337194085121155,1.9768644571304321
233,1708936756.2687824,745600,-0.05345289781689644,1.6345821619033813,-0.042337194085121155,1.9768644571304321
234,1708936756.8199503,748800,-0.05345289781689644,1.6345821619033813,-0.04499322548508644,1.8744393587112427
235,1708936757.1998937,752000,-0.049675069749355316,1.628602147102356,-0.04499322548508644,1.8744393587112427
236,1708936757.6352215,755200,-0.049675069749355316,1.628602147102356,-0.04308334365487099,1.923169732093811
237,1708936758.1142042,758400,-0.04959936439990997,1.6363388299942017,-0.04308334365487099,1.923169732093811
238,1708936758.466489,761600,-0.04959936439990997,1.6363388299942017,-0.04346471652388573,2.0262556076049805
239,1708936759.0890608,764800,-0.04906538128852844,1.651633620262146,-0.04346471652388573,2.0262556076049805
240,1708936759.3105865,768000,-0.04906538128852844,1.651633620262146,-0.04668569564819336,1.8889579772949219
241,1708936759.957835,771200,-0.0501420684158802,1.4119465351104736,-0.04668569564819336,1.8889579772949219
242,1708936760.0899978,774400,-0.0501420684158802,1.4119465351104736,-0.048882804811000824,1.7549688816070557
243,1708936760.9226084,777600,-0.05309882014989853,1.626488208770752,-0.048882804811000824,1.7549688816070557
244,1708936760.926925,780800,-0.05309882014989853,1.626488208770752,-0.05203309655189514,1.9971168041229248
245,1708936761.6982756,784000,-0.05309882014989853,1.626488208770752,-0.05391718074679375,1.936617136001587
246,1708936761.819007,787200,-0.05312896892428398,1.615004539489746,-0.05391718074679375,1.936617136001587
247,1708936762.5229268,790400,-0.05312896892428398,1.615004539489746,-0.05568605288863182,2.029334545135498
248,1708936762.705017,793600,-0.056313514709472656,1.7638635635375977,-0.05568605288863182,2.029334545135498
249,1708936763.3610198,796800,-0.056313514709472656,1.7638635635375977,-0.05631622299551964,1.8783769607543945
250,1708936763.6893835,800000,-0.05657880753278732,1.378240942955017,-0.05631622299551964,1.8783769607543945
251,1708936764.1667945,803200,-0.05657880753278732,1.378240942955017,-0.05910423770546913,1.7841299772262573
252,1708936764.621941,806400,-0.055945996195077896,1.5759695768356323,-0.05910423770546913,1.7841299772262573
253,1708936765.0372875,809600,-0.055945996195077896,1.5759695768356323,-0.061233628541231155,1.9953056573867798
254,1708936765.6107469,812800,-0.0568656399846077,1.7878776788711548,-0.061233628541231155,1.9953056573867798
255,1708936765.8735514,816000,-0.0568656399846077,1.7878776788711548,-0.06253299862146378,2.373861074447632
256,1708936766.5369096,819200,-0.05584314465522766,1.6990772485733032,-0.06253299862146378,2.373861074447632
257,1708936766.6822534,822400,-0.05584314465522766,1.6990772485733032,-0.06334687024354935,1.9992533922195435
258,1708936767.4784756,825600,-0.05151837691664696,1.805894136428833,-0.06334687024354935,1.9992533922195435
259,1708936767.5447485,828800,-0.05151837691664696,1.805894136428833,-0.06477972865104675,2.0000717639923096
260,1708936768.3777058,832000,-0.05151837691664696,1.805894136428833,-0.06449374556541443,1.7938528060913086
261,1708936768.469765,835200,-0.0513196624815464,1.3411478996276855,-0.06449374556541443,1.7938528060913086
262,1708936769.2306914,838400,-0.0513196624815464,1.3411478996276855,-0.06531279534101486,1.9748181104660034
263,1708936769.3715472,841600,-0.04626563936471939,1.6042132377624512,-0.06531279534101486,1.9748181104660034
264,1708936770.0559824,844800,-0.04626563936471939,1.6042132377624512,-0.06727958470582962,1.8222126960754395
265,1708936770.3374069,848000,-0.045740894973278046,1.512619972229004,-0.06727958470582962,1.8222126960754395
266,1708936770.867908,851200,-0.045740894973278046,1.512619972229004,-0.0666159987449646,1.9642596244812012
267,1708936771.2714972,854400,-0.04677698016166687,1.6588746309280396,-0.0666159987449646,1.9642596244812012
268,1708936771.7261395,857600,-0.04677698016166687,1.6588746309280396,-0.06576606631278992,1.9438573122024536
269,1708936772.1701977,860800,-0.04550706222653389,1.7367281913757324,-0.06576606631278992,1.9438573122024536
270,1708936772.5463383,864000,-0.04550706222653389,1.7367281913757324,-0.06540079414844513,1.9663280248641968
271,1708936773.1704943,867200,-0.04185999929904938,1.3712691068649292,-0.06540079414844513,1.9663280248641968
272,1708936773.4294271,870400,-0.04185999929904938,1.3712691068649292,-0.06609221547842026,1.8927444219589233
273,1708936774.0764444,873600,-0.03996855020523071,1.376511812210083,-0.06609221547842026,1.8927444219589233
